element,sp_num,obs_wl_air(nm),unc_obs_wl,intens,Aki(s^-1),Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,Type,tp_ref,line_ref,
W,1,"=""461.6396""","=""""","=""3""","=""""",,"=""19256.24""","=""40911.98""","=""5d5.(4G).6s""","=""5G""","=""4""","=""""","=""*""","=""5""",,"=""""","=""L153""",
In,2,"=""461.6405""","=""0.0017""","=""140""","=""""",,"=""123648.096""","=""145303.91""","=""5s.4f""","=""3F*""","=""3""","=""5s<1/2,F=5>.8g""","=""""","=""""",,"=""""","=""L3548c128""",
Sr,4,"=""461.6449""","=""0.002""","=""16w*""","=""""",,"=""403863.95""","=""425519.55""","=""4s2.4p4.(1D<2>).5g""","=""2[5]""","=""9/2""","=""4s2.4p4.(1D<2>).6h""","=""2[6]*""","=""11/2""",,"=""""","=""L4311""",
Sr,4,"=""461.6449""","=""0.002""","=""16w*""","=""""",,"=""403864.66""","=""425520.26""","=""4s2.4p4.(1D<2>).5g""","=""2[5]""","=""11/2""","=""4s2.4p4.(1D<2>).6h""","=""2[6]*""","=""13/2""",,"=""""","=""L4311""",
Th,1,"=""461.64524""","=""0.00004""","=""110""","=""""",,"=""7502.287636""","=""29157.87692""","=""6d3.(4F).7s""","=""5F""","=""3""","=""""","=""*""","=""3""",,"=""""","=""L5951""",
V,4,"=""461.657""","=""""","=""1""","=""1.7e+07""",,"=""264401.9""","=""286056.9""","=""3p6.3d.4f""","=""3H*""","=""4""","=""3p6.3d.5d""","=""3F""","=""3""",,"=""T2757""","=""L147""",
Cr,2,"=""461.662424""","=""0.000015""","=""80""","=""4.0e+06""",D,"=""32844.7068""","=""54499.4907""","=""3d5""","=""b 4F""","=""3/2""","=""3d4.(5D).4p""","=""z 4D*""","=""3/2""",,"=""T4502""","=""L18847""",
Os,1,"=""461.678""","=""""","=""170""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""L3475""",
Tc,1,"=""461.6857""","=""""","=""1000""","=""""",,"=""23265.32""","=""44919.08""","=""4d5.(6S).5s.(7S).5p""","=""6P*""","=""7/2""","=""4d5.(6S).5s.(7S).5d""","=""f 6D""","=""9/2""",,"=""""","=""L149""",
V,1,"=""461.6858""","=""0.0003""","=""30000""","=""""",,"=""15688.862""","=""37342.555""","=""3d4.(3F2).4s""","=""b 4F""","=""5/2""","=""3d3.(2D2).4s.4p.(3P*)""","=""w 2F*""","=""5/2""",,"=""""","=""L15916""",
Ne,1,"=""461.6911""","=""0.0020""","=""50""","=""""",,"=""150917.4307""","=""172570.83""","=""2s2.2p5.(2P*<3/2>).3p""","=""2[1/2]""","=""0""","=""2s2.2p5.(2P*<3/2>).9d""","=""2[3/2]*""","=""1""",,"=""""","=""L3469""",
Pm,1,"=""461.702""","=""""","=""600r""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""L4514c1""",
In,2,"=""461.7175""","=""0.0021""","=""350""","=""""",,"=""123648.096""","=""145300.34""","=""5s.4f""","=""3F*""","=""3""","=""5s<1/2,F=4>.8g""","=""""","=""""",,"=""""","=""L3548c128""",
Dy,2,"=""461.726""","=""""","=""60""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""L3475""",
Ti,1,"=""461.7268""","=""0.0003""","=""2600""","=""8.51e+07""",C+,"=""14105.634""","=""35757.394""","=""3d3.(4P).4s""","=""a 5P""","=""3""","=""3d3.(4P).4p""","=""w 5D*""","=""4""",,"=""T4922""","=""L10989""",
Th,1,"=""461.72964""","=""0.00006""","=""34*""","=""""",,"=""14481.86965""","=""36133.5019""","=""5f.6d.7s2""","=""3H*""","=""6""","=""""","=""""","=""5""",,"=""""","=""L5951""",
Th,1,"=""461.72964""","=""0.00006""","=""34*""","=""""",,"=""17959.89498""","=""39611.5229""","=""6d3.(4F).7s""","=""3F""","=""4""","=""""","=""*""","=""3""",,"=""""","=""L5951""",
Cr,1,"=""461.737""","=""0.003""","=""2""","=""5.1e+04""",D,"=""24056.0404""","=""45707.3259""","=""3d4.4s2""","=""a 3H""","=""5""","=""3d5.(4G).4p""","=""y 5H*""","=""6""",,"=""T2268""","=""L808""",
