element,sp_num,obs_wl_air(nm),unc_obs_wl,ritz_wl_air(nm),unc_ritz_wl,intens,Aki(s^-1),Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,Type,tp_ref,line_ref,
Fe,1,"=""398.4934""","=""0.0003""","=""398.49343""","=""0.00004""","=""282""","=""""",,"=""26479.381""","=""51566.802""","=""3d6.(5D).4s.4p.(3P*)""","=""z 5D*""","=""1""","=""3d6.(5D).4s (6D).4d""","=""e 7G""","=""1""",,"=""""","=""L11631""",
Pt,1,"=""398.4939""","=""0.0020""","=""398.49286""","=""0.00014""","=""7""","=""""",,"=""43187.829""","=""68275.286""","=""5d8.6s.(4F).6p""","=""5D*""","=""1""","=""""","=""""","=""2""",,"=""""","=""L11529""",
Tc,1,"=""398.4967""","=""""","=""398.4968""","=""""","=""10000c""","=""4.2e+07""",,"=""2572.89""","=""27660.10""","=""4d6.(5D).5s""","=""6D""","=""9/2""","=""4d6.(5D).5p""","=""6D*""","=""7/2""",,"=""T6934""","=""L149""",
Cr,1,"=""398.503""","=""0.008""","=""398.49721""","=""0.00019""","=""1w*""","=""""",,"=""29584.5708""","=""54671.754""","=""3d4.(5D).4s.4p.(3P*)""","=""y 5P*""","=""2""","=""3d4.4s.5s""","=""g 5D""","=""1""",,"=""""","=""L808""",
Cr,1,"=""398.503""","=""0.008""","=""398.49845""","=""0.00003""","=""1w*""","=""""",,"=""25177.3539""","=""50264.4589""","=""3d4.4s2""","=""a 3F""","=""4""","=""3d5.(4D).4p""","=""w 3D*""","=""3""",,"=""""","=""L808""",
Th,2,"=""398.50651""","=""0.00022""","=""398.506655""","=""0.000014""","=""25""","=""""",,"=""24873.98386""","=""49960.5726""","=""6d.7s.(3D).7p""","=""*""","=""5/2""","=""5f2.6d+5f.6d.7p""","=""""","=""7/2""",,"=""""","=""L2372""",
Ag,2,"=""398.51904""","=""0.00005""","=""398.51904""","=""0.00003""","=""220""","=""""",,"=""80176.4601""","=""105262.2691""","=""4d9.(2D<5/2>).5p""","=""2[3/2]*""","=""2""","=""4d8.5s2""","=""3P""","=""2""",,"=""""","=""L11881c113""",
Xe,1,"=""398.5202""","=""0.0002""","=""398.52027+""","=""""","=""30""","=""""",,"=""67067.547""","=""92153.279""","=""5p5.(2P*<3/2>).6s""","=""2[3/2]*""","=""2""","=""5p5.(2P*<3/2>).8p""","=""2[1/2]""","=""1""",,"=""""","=""L7292""",
Cu,2,"=""398.52145""","=""0.00011""","=""398.52136""","=""0.00005""","=""700""","=""""",,"=""123556.8261""","=""148642.489""","=""3d9.(2D<3/2>).5p""","=""2[3/2]*""","=""2""","=""3d9.(2D<3/2>).6d""","=""2[5/2]""","=""2""",,"=""""","=""L869c171""",
Mn,1,"=""398.524""","=""""","=""398.5241""","=""""","=""150""","=""9.7e+06""",E,"=""25287.74""","=""50373.23""","=""3d5.4s2""","=""a 4G""","=""7/2""","=""3d5.(4G).4s.4p.(3P*)""","=""y 4F*""","=""5/2""",,"=""T1117""","=""L3475""",
Fe,1,"=""398.53157""","=""0.00024""","=""398.531577""","=""0.000022""","=""417""","=""""",,"=""20641.110""","=""45726.130""","=""3d6.4s2""","=""b 3F2""","=""4""","=""3d6.(3F2).4s.4p.(3P*)""","=""x 5G*""","=""5""",,"=""""","=""L11631""",
Hf,1,"=""398.5320""","=""0.0010""","=""398.53250""","=""0.00019""","=""25""","=""""",,"=""26305.8081""","=""51390.770""","=""5d2.(a 3F).6s.(a 4F).6p""","=""z 5D*""","=""3""","=""5d4""","=""5F""","=""4""",,"=""""","=""L16323""",
Th,1,"=""398.53409""","=""0.00005""","=""398.534071""","=""0.000014""","=""95""","=""""",,"=""13847.77037""","=""38932.6334""","=""6d3.(4F).7s""","=""3F""","=""2""","=""""","=""*""","=""2""",,"=""""","=""L5951""",
Fe,1,"=""398.53870""","=""0.00005""","=""398.538695""","=""0.000022""","=""2630""","=""8.53e+06""",B,"=""26623.735""","=""51708.307""","=""3d7.(2D2).4s""","=""a 3D""","=""2""","=""3d7.(2P).4p""","=""y 1D*""","=""2""",,"=""T5720""","=""L11631""",
Th,2,"=""398.54114""","=""0.00005""","=""398.541051""","=""0.000021""","=""170""","=""""",,"=""27593.96780""","=""52678.3915""","=""5f2.(3F).7s""","=""""","=""5/2""","=""5f2.7p ""","=""*""","=""5/2""",,"=""""","=""L5951""",
O,2,"=""398.5418""","=""""","=""398.5410""","=""""","=""7""","=""6.68e+05""",C,"=""208346.104""","=""233430.53""","=""2s2.2p2.(3P).3p""","=""4P*""","=""1/2""","=""2s2.2p2.(3P).3d""","=""2P""","=""3/2""",,"=""T6172""","=""L10621""",
