element,sp_num,obs_wl_air(nm),unc_obs_wl,intens,Aki(s^-1),Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,Type,tp_ref,line_ref,
Cr,2,"=""371.294517""","=""0.000011""","=""210""","=""""",,"=""21824.1406""","=""48749.2779""","=""3d5""","=""a 4P""","=""3/2""","=""3d4.(5D).4p""","=""z 4P*""","=""1/2""",,"=""""","=""L18847""",
Ac,2,"=""371.3000""","=""0.0013""","=""1800""","=""3.62e+07""",C+,"=""31878.854""","=""58803.51""","=""6d.7p""","=""1D*""","=""2""","=""6d.8s""","=""1D""","=""2""",,"=""T10463""","=""L7344""",
Nb,1,"=""371.301""","=""""","=""3300""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""L3475""",
Ar,2,"=""371.3019""","=""0.0006""","=""2""","=""""",,"=""172213.8798""","=""199138.5106""","=""3s2.3p4.(1D).4p""","=""2P*""","=""3/2""","=""3s2.3p4.(3P).6s""","=""4P""","=""3/2""",,"=""""","=""L14821""",
Rh,1,"=""371.302""","=""""","=""940""","=""8.2e+06""",B+,"=""3472.68""","=""30397.27""","=""4d8.(3F).5s""","=""a 4F""","=""3/2""","=""4d8.(3F).5p""","=""z 4D*""","=""3/2""",,"=""T5181""","=""L3475""",
Ne,2,"=""371.308260""","=""0.000018""","=""500""","=""1.3e+08""",D,"=""224087.0092""","=""251011.1511""","=""2s2.2p4.(3P).3s""","=""2P""","=""3/2""","=""2s2.2p4.(3P).3p""","=""2D*""","=""5/2""",,"=""T867LS""","=""L5951""",
Al,3,"=""371.3123""","=""""","=""11""","=""2.27e+08""",A+,"=""143713.50""","=""170637.35""","=""2p6.4p""","=""2P*""","=""3/2""","=""2p6.5s""","=""2S""","=""1/2""",,"=""c32""","=""L277""",
Ac,2,"=""371.3170""","=""0.0006""","=""1100h""","=""3.45e+07""",C+,"=""32965.512""","=""59889.02""","=""5f.7s""","=""3F*""","=""4""","=""5f.7p""","=""3F""","=""4""",,"=""T10463""","=""L7344""",
V,1,"=""371.3311""","=""0.0004""","=""12000""","=""""",,"=""17182.073""","=""44104.562""","=""3d4.(3G).4s""","=""a 4G""","=""9/2""","=""3d4.(3D).4p""","=""4F*""","=""7/2""",,"=""""","=""L15916""",
Rh,1,"=""371.343""","=""""","=""60""","=""""",,"=""16120.72""","=""43042.31""","=""4d8.(1G).5s""","=""a 2G""","=""7/2""","=""""","=""15*""","=""9/2""",,"=""""","=""L3475""",
Eu,2,"=""371.345""","=""""","=""95""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""L3475""",
Mg,3,"=""371.350""","=""""","=""bl""","=""""",,"=""564300.0""","=""591220.7""","=""2s2.2p5.(2P*<3/2>).4p""","=""2[1/2]""","=""0""","=""2s2.2p5.(2P*<1/2>).5s""","=""2[1/2]*""","=""1""",,"=""""","=""L1434""",
V,1,"=""371.3533""","=""0.0003""","=""17000""","=""5.0e+07""",C,"=""15078.387""","=""41999.261""","=""3d4.(3P2).4s""","=""b 4P""","=""1/2""","=""3d3.(4P).4s.4p.(1P*)""","=""r 4D*""","=""3/2""",,"=""T9282""","=""L15916""",
La,2,"=""371.354""","=""""","=""550""","=""1.09e+07""",C+,"=""1394.46""","=""28315.25""","=""5d2""","=""""","=""2""","=""5d.6p""","=""y 3D*""","=""3""",,"=""T7455""","=""L3475""",
U,1,"=""371.355""","=""""","=""350""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""L3475""",
S,5,"=""371.3555""","=""""","=""1""","=""8.34e+04""",D,"=""397605.2""","=""424526.0""","=""3s.4d""","=""1D""","=""2""","=""3p.4s""","=""1P*""","=""1""",,"=""T7238""","=""L5337""",
Gd,1,"=""371.357""","=""""","=""2000""","=""9.2e+07""",,"=""215.124""","=""27135.695""","=""4f7.(8S*).5d.6s2""","=""9D*""","=""3""","=""4f7.(8S*).5d (9D*).6s.6p.(1P*)""","=""9P""","=""3""",,"=""T7227""","=""L3475""",
Mn,2,"=""371.3627""","=""0.0006""","=""30""","=""""",,"=""43311.324""","=""70231.468""","=""3d5.(4F).4s""","=""a 5F""","=""1""","=""3d5.(4D).4p""","=""y 5F*""","=""2""",,"=""""","=""L562""",
Nd,2,"=""371.370""","=""""","=""470""","=""""",,"=""5985.580""","=""32905.325""","=""4f4.(5I).6s""","=""4I""","=""15/2""","=""""","=""*""","=""15/2""",,"=""""","=""L3475""",
Ti,1,"=""371.37161""","=""0.00017""","=""9""","=""""",,"=""11531.761""","=""38451.309""","=""3d3.(4F).4s""","=""b 3F""","=""2""","=""3d3.(2G).4p""","=""t 3F*""","=""2""",,"=""""","=""L10989""",
Os,1,"=""371.373""","=""""","=""230""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""L3475""",
Co,2,"=""371.3736""","=""0.0010""","=""26""","=""""",,"=""67824.389""","=""94743.698""","=""3d7.(2P).4p""","=""x 3D*""","=""1""","=""3d7.(4F).4d""","=""f 3F""","=""2""",,"=""""","=""L4687c119""",
Nb,4,"=""371.3932""","=""0.0021""","=""20000u""","=""8.3e+06""",C,"=""166965.32""","=""193883.50""","=""4d.5d""","=""3D""","=""3""","=""4d.6p""","=""3F*""","=""3""",,"=""T2192""","=""L12094""",
V,1,"=""371.39522""","=""0.00015""","=""230000""","=""""",,"=""552.955""","=""27470.790""","=""3d3.4s2""","=""a 4F""","=""9/2""","=""3d3.(4F).4s.4p.(3P*)""","=""z 2F*""","=""7/2""",,"=""""","=""L15916""",
Pb,2,"=""371.3982""","=""""","=""10""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""L2579""",
Li,2,"=""371.400""","=""""","=""1""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""L3501""",
Nb,4,"=""371.4006""","=""0.0021""","=""100000u""","=""5.0e+07""",C+,"=""165990.98""","=""192908.33""","=""4d.5d""","=""3D""","=""2""","=""4d.6p""","=""3D*""","=""1""",,"=""T2192""","=""L12094""",
V,1,"=""371.4027""","=""0.0003""","=""11000""","=""""",,"=""15000.937""","=""41918.255""","=""3d4.(3H).4s""","=""a 4H""","=""11/2""","=""3d4.(3G).4p""","=""t 4G*""","=""11/2""",,"=""""","=""L15916""",
Pr,2,"=""371.405""","=""""","=""290""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""L3475""",
Li,2,"=""371.416""","=""""","=""5""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""L3501""",
Nd,2,"=""371.420""","=""""","=""370""","=""""",,"=""13616.680""","=""40532.810""","=""4f3.(4I*).5d (5K*).6s""","=""6K*""","=""15/2""","=""4f3.5d.6p""","=""""","=""17/2""",,"=""""","=""L3475""",
W,1,"=""371.4232""","=""""","=""30""","=""""",,"=""17008.50""","=""43924.25""","=""5d4.6s2""","=""3H""","=""6""","=""""","=""*""","=""5""",,"=""""","=""L153""",
Sc,1,"=""371.4244""","=""0.0007""","=""2""","=""""",,"=""16021.7788""","=""42937.526""","=""3d.4s.(3D).4p""","=""4D*""","=""3/2""","=""3d3""","=""2D1""","=""3/2""",,"=""""","=""L4189c12""",
Li,2,"=""371.427""","=""""","=""6bl""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""L3501""",
