element,sp_num,obs_wl_air(nm),unc_obs_wl,ritz_wl_air(nm),unc_ritz_wl,intens,Aki(s^-1),Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,Type,tp_ref,line_ref,
Cr,1,"=""578.592""","=""0.004""","=""578.59449""","=""0.00007""","=""10*""","=""""",,"=""7810.7795""","=""25089.2497""","=""3d4.4s2""","=""a 5D""","=""1""","=""3d4.(5D).4s.4p.(3P*)""","=""z 7F*""","=""2""",,"=""""","=""L808""",
Ti,1,"=""578.5977""","=""0.0004""","=""578.59795""","=""0.00013""","=""90""","=""6.1e+07""",D,"=""26772.968""","=""44051.3351""","=""3d3.(4F).4p""","=""y 5G*""","=""5""","=""3d3.(4F).4d""","=""f 5H""","=""6""",,"=""T4401n""","=""L10989""",
Cr,2,"=""578.60553""","=""0.00015""","=""578.60567""","=""0.00006""","=""7""","=""""",,"=""67448.5405""","=""84726.6771""","=""3d4.(a 3F).4p""","=""y 4F*""","=""9/2""","=""3d4.(5D).5s""","=""e 4D""","=""7/2""",,"=""""","=""L18847""",
V,1,"=""578.6141""","=""0.0018""","=""578.61346""","=""0.00005""","=""220000bl""","=""""",,"=""20828.481""","=""38106.385""","=""3d3.(4F).4s.4p.(3P*)""","=""z 4D*""","=""5/2""","=""3d4.(5D).5s""","=""e 4D""","=""5/2""",,"=""""","=""L15916""",
Pr,2,"=""578.617""","=""""","=""578.617+""","=""""","=""65""","=""""",,"=""7438.23""","=""24716.04""","=""4f3.(4I*).5d""","=""3I*""","=""5""","=""4f3.(4I*).6p""","=""5I""","=""5""",,"=""""","=""L3475""",
Th,1,"=""578.6209""","=""0.0003""","=""578.62140""","=""0.00003""","=""29""","=""""",,"=""19817.18191""","=""37094.8488""","=""6d2.7s.7p""","=""5P*""","=""1""","=""""","=""""","=""2""",,"=""""","=""L3552""",
Fe,2,"=""578.6406""","=""0.0002""","=""578.64072""","=""0.00003""","=""70""","=""2.9e+06""",D+,"=""86710.911""","=""103988.001""","=""3d6.(5D).4d""","=""e 4F""","=""3/2""","=""3d6.(5D<1>).4f""","=""2[3]*""","=""5/2""",,"=""T6892c83""","=""L18349c139""",
Lu,3,"=""578.646""","=""""","=""""","=""""","=""70""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""L1402""",
Ar,2,"=""578.6561""","=""0.0008""","=""578.65558""","=""0.00005""","=""4bl""","=""""",,"=""172829.6539""","=""190106.3000""","=""3s2.3p4.(1D).3d""","=""2D""","=""3/2""","=""3s2.3p4.(3P).5p""","=""4D*""","=""3/2""",,"=""""","=""L11520""",
Th,2,"=""578.66647""","=""0.00023""","=""578.667482""","=""0.000024""","=""38""","=""""",,"=""14349.3888""","=""31625.6797""","=""6d3""","=""4P""","=""1/2""","=""7s2.7p""","=""*""","=""1/2""",,"=""""","=""L12239""",
Th,1,"=""578.6784""","=""0.0003""","=""578.678693""","=""0.000020""","=""24""","=""""",,"=""23306.82782""","=""40582.7840""","=""5f.6d2.7s""","=""3I*""","=""6""","=""""","=""""","=""5""",,"=""""","=""L12239""",
N,1,"=""""","=""""","=""578.6835""","=""""","=""""","=""2.16e+05""",D+,"=""96750.840""","=""114026.654""","=""2s2.2p2.(3P).3p""","=""4S*""","=""3/2""","=""2s2.2p2.(3P).7s""","=""4P""","=""1/2""",,"=""T5723LS""","=""""",
Gd,3,"=""578.696""","=""""","=""""","=""""","=""1800""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""L7376""",
Sm,2,"=""578.698""","=""""","=""""","=""""","=""70bl""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""L3475""",
Fe,1,"=""578.6991""","=""0.0003""","=""578.69897""","=""0.00005""","=""3""","=""""",,"=""34328.752""","=""51604.103""","=""3d7.(4F).4p""","=""y 5F*""","=""3""","=""3d6.(5D).4s (6D).4d""","=""f 5F""","=""3""",,"=""""","=""L11631""",
I,2,"=""578.702""","=""""","=""578.702""","=""""","=""500""","=""""",,"=""102613.52""","=""119888.77""","=""5s2.5p3.(4S*).6p""","=""3P""","=""2""","=""5s2.5p3.(4S*).7s""","=""3S*""","=""1""",,"=""""","=""L7360""",
Cr,1,"=""578.7021""","=""0.0002""","=""578.70211""","=""0.00005""","=""8""","=""""",,"=""24299.8419""","=""41575.099""","=""3d5.(4D).4s""","=""b 5D""","=""2""","=""3d4.(5D).4s.4p.(1P*)""","=""y 5D*""","=""3""",,"=""""","=""L14866""",
Kr,1,"=""578.729""","=""""","=""578.72957+""","=""""","=""6""","=""3.1e+03""",D+,"=""85846.7046""","=""103121.1419""","=""4s2.4p5.(2P*<1/2>).5s""","=""2[1/2]*""","=""1""","=""4s2.4p5.(2P*<3/2>).6p""","=""2[5/2]""","=""2""",,"=""T3952n,T3378,T9012""","=""L7408""",
